target,target_label,cultura,modelo,status,conjunto,n_linhas,MAE,MSE,RMSE,MAE_relativo_pct
quantidade_produzida_t,Quantidade produzida,Cana_de_acucar,Regressao Linear,baseline,teste_final_por_cultura,78,27024083.674625166,3662711749422206.0,60520341.61686636,94.7880246756676
quantidade_produzida_t,Quantidade produzida,Cana_de_acucar,Random Forest default,default,teste_final_por_cultura,78,1971214.746794871,16158425585433.46,4019754.418547663,6.914112400994249
quantidade_produzida_t,Quantidade produzida,Cana_de_acucar,Random Forest tunado,tunado,teste_final_por_cultura,78,2113800.9815527066,18081707908625.67,4252259.153511892,7.414239165748418
quantidade_produzida_t,Quantidade produzida,Cana_de_acucar,LightGBM default,default,teste_final_por_cultura,78,4787894.330055561,74313601625144.22,8620533.720434265,16.793725602912247
quantidade_produzida_t,Quantidade produzida,Cana_de_acucar,LightGBM tunado,tunado,teste_final_por_cultura,78,2664334.625378416,24491637833771.38,4948902.689866854,9.345257336208562
quantidade_produzida_t,Quantidade produzida,Mandioca,Regressao Linear,baseline,teste_final_por_cultura,78,5504533.934941536,377926325546662.1,19440327.3003996,791.2581103966614
quantidade_produzida_t,Quantidade produzida,Mandioca,Random Forest default,default,teste_final_por_cultura,78,306021.0855128205,362294420850.4939,601908.9805365043,43.989494610497175
quantidade_produzida_t,Quantidade produzida,Mandioca,Random Forest tunado,tunado,teste_final_por_cultura,78,281175.86780626775,236154074926.07513,485956.8652936957,40.418078710943924
quantidade_produzida_t,Quantidade produzida,Mandioca,LightGBM default,default,teste_final_por_cultura,78,1364095.7216343975,12610575738329.176,3551137.24577482,196.08414006663173
quantidade_produzida_t,Quantidade produzida,Mandioca,LightGBM tunado,tunado,teste_final_por_cultura,78,498095.96788440493,457384780452.3405,676302.2848196955,71.59960843235248
quantidade_produzida_t,Quantidade produzida,Milho,Regressao Linear,baseline,teste_final_por_cultura,78,6410119.477351356,409756805270813.94,20242450.574740548,151.66361438135863
quantidade_produzida_t,Quantidade produzida,Milho,Random Forest default,default,teste_final_por_cultura,78,1327775.1815384617,13074444433701.781,3615860.123636115,31.41519964323588
quantidade_produzida_t,Quantidade produzida,Milho,Random Forest tunado,tunado,teste_final_por_cultura,78,1291901.0297720798,12561628347841.021,3544238.7543506464,30.56641616283763
quantidade_produzida_t,Quantidade produzida,Milho,LightGBM default,default,teste_final_por_cultura,78,1194339.24399985,10327070139800.717,3213575.9116287758,28.25810145700471
quantidade_produzida_t,Quantidade produzida,Milho,LightGBM tunado,tunado,teste_final_por_cultura,78,1578673.7779650842,12731725344860.998,3568154.333105702,37.351467775478945
quantidade_produzida_t,Quantidade produzida,Soja,Regressao Linear,baseline,teste_final_por_cultura,78,7187071.101680959,419278599359593.25,20476293.59429077,137.66428545308037
quantidade_produzida_t,Quantidade produzida,Soja,Random Forest default,default,teste_final_por_cultura,78,1483998.075897436,9533616201218.326,3087655.453773676,28.425144518799204
quantidade_produzida_t,Quantidade produzida,Soja,Random Forest tunado,tunado,teste_final_por_cultura,78,1528806.0498575498,9148558145888.469,3024658.35192811,29.283415938484566
quantidade_produzida_t,Quantidade produzida,Soja,LightGBM default,default,teste_final_por_cultura,78,1521757.1540247416,8917644742078.436,2986242.5792420874,29.148398322222246
quantidade_produzida_t,Quantidade produzida,Soja,LightGBM tunado,tunado,teste_final_por_cultura,78,1727579.6383809377,8667232269864.957,2944016.350135467,33.0908116973239
rendimento_medio_producao_kg_ha,Rendimento medio,Cana_de_acucar,Regressao Linear,baseline,teste_final_por_cultura,78,14393.408959461247,271700302.78734994,16483.334091965433,23.770378243997143
rendimento_medio_producao_kg_ha,Rendimento medio,Cana_de_acucar,Random Forest default,default,teste_final_por_cultura,78,5984.155384615386,67804237.60080001,8234.332857056484,9.882692652157106
rendimento_medio_producao_kg_ha,Rendimento medio,Cana_de_acucar,Random Forest tunado,tunado,teste_final_por_cultura,78,6248.8975892385715,69109238.65419108,8313.196656773558,10.319908210942865
rendimento_medio_producao_kg_ha,Rendimento medio,Cana_de_acucar,LightGBM default,default,teste_final_por_cultura,78,5954.31640586127,52470068.07845121,7243.62257979053,9.833414276659154
rendimento_medio_producao_kg_ha,Rendimento medio,Cana_de_acucar,LightGBM tunado,tunado,teste_final_por_cultura,78,5485.035387981073,45955489.51248261,6779.047832290506,9.058407651810372
rendimento_medio_producao_kg_ha,Rendimento medio,Mandioca,Regressao Linear,baseline,teste_final_por_cultura,78,8521.569674556626,95724472.30552305,9783.888404183843,56.77164627736734
rendimento_medio_producao_kg_ha,Rendimento medio,Mandioca,Random Forest default,default,teste_final_por_cultura,78,878.1826923076922,1704650.2154705126,1305.6225394310993,5.850550905363853
rendimento_medio_producao_kg_ha,Rendimento medio,Mandioca,Random Forest tunado,tunado,teste_final_por_cultura,78,1071.5371587496215,1814708.2972350377,1347.1110931304208,7.138699896008753
rendimento_medio_producao_kg_ha,Rendimento medio,Mandioca,LightGBM default,default,teste_final_por_cultura,78,1131.3136149558482,2274583.6175567335,1508.1722771476518,7.536937304967215
rendimento_medio_producao_kg_ha,Rendimento medio,Mandioca,LightGBM tunado,tunado,teste_final_por_cultura,78,1090.8219995096401,1851423.3918738968,1360.6701995244464,7.26717765303655
rendimento_medio_producao_kg_ha,Rendimento medio,Milho,Regressao Linear,baseline,teste_final_por_cultura,78,3408.8426845261038,15651531.226534272,3956.2016160117864,88.01585253317225
rendimento_medio_producao_kg_ha,Rendimento medio,Milho,Random Forest default,default,teste_final_por_cultura,78,780.6998717948719,1381157.1491371794,1175.2264246251355,20.15756406139831
rendimento_medio_producao_kg_ha,Rendimento medio,Milho,Random Forest tunado,tunado,teste_final_por_cultura,78,786.8263414732477,1030952.4576306907,1015.3582902752559,20.31574867173795
rendimento_medio_producao_kg_ha,Rendimento medio,Milho,LightGBM default,default,teste_final_por_cultura,78,797.4546484578647,1494728.0856809285,1222.590726973229,20.590170106461734
rendimento_medio_producao_kg_ha,Rendimento medio,Milho,LightGBM tunado,tunado,teste_final_por_cultura,78,877.603396632734,1171802.2965428645,1082.498173921261,22.659599837584203
rendimento_medio_producao_kg_ha,Rendimento medio,Soja,Regressao Linear,baseline,teste_final_por_cultura,78,2604.285830022292,8603137.929953448,2933.1106235451552,90.52048052945709
rendimento_medio_producao_kg_ha,Rendimento medio,Soja,Random Forest default,default,teste_final_por_cultura,78,835.9196153846154,1385575.5159961537,1177.1047175150363,29.055123057658633
rendimento_medio_producao_kg_ha,Rendimento medio,Soja,Random Forest tunado,tunado,teste_final_por_cultura,78,791.4213146621807,1211368.2214830972,1100.6217431447997,27.50843892732852
rendimento_medio_producao_kg_ha,Rendimento medio,Soja,LightGBM default,default,teste_final_por_cultura,78,814.9323679330333,1311122.3768576032,1145.0425218556747,28.325642559624526
rendimento_medio_producao_kg_ha,Rendimento medio,Soja,LightGBM tunado,tunado,teste_final_por_cultura,78,807.2547676408549,1284432.0396929488,1133.3278606356366,28.058782424784734
