uf,ano,cultura,target,target_label,modelo,status,valor_real,valor_predito
PA,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,285911.0,0.0
PA,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,362071.0,491874.31350594014
PA,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,753781.0,1060391.4044150317
PB,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,101363.0,77055.28391685092
PB,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,14321.0,0.0
PB,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,86374.0,305597.1580427249
PB,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,0.0,874114.2489518163
PE,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,279658.0,164372.34311743133
PE,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,43671.0,0.0
PE,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,183755.0,392914.21724330523
PE,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,300.0,961431.3081523967
PI,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,17892.0,310600.8361725709
PI,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,41527.0,0.0
PI,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,521923.0,539142.7102984448
PI,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,832063.0,1107659.8012075364
PR,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,567806.0,2144084.8628352787
PR,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,142707.0,1816370.8278702435
PR,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,2856885.0,2372626.736961153
PR,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,5521183.0,2941143.827870244
RJ,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,61454.0,132707.4175739386
RJ,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,11847.0,0.0
RJ,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,2019.0,361249.29169981263
RJ,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,77.0,929766.3826089042
RN,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,66667.0,41862.18727109698
RN,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,22498.0,0.0
RN,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,45473.0,270404.061396971
RN,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,0.0,838921.1523060624
RO,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,718.0,143477.3302244516
RO,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,18656.0,0.0
RO,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,295980.0,372019.20435032574
RO,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,400459.0,940536.2952594173
RS,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,14239.0,1584794.5995678913
RS,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,47627.0,1257080.564602856
RS,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,780142.0,1813336.4736937652
RS,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,6107620.0,2381853.5646028565
SC,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,3917.0,293355.9409772026
SC,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,16875.0,0.0
SC,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,338887.0,521897.8151030765
SC,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,688980.0,1090414.9060121682
SE,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,37258.0,0.0
SE,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,10782.0,0.0
SE,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,175237.0,227507.67280227545
SE,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,0.0,796024.7637113668
SP,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,5473240.0,1883190.5379993506
SP,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,65804.0,1555476.5030343153
SP,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,681655.0,2111732.4121252247
SP,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1199351.0,2680249.503034316
TO,2021,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,36419.0,317428.8697606346
TO,2021,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,16618.0,0.0
TO,2021,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,334551.0,545970.7438865087
TO,2021,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1113801.0,1114487.8347956003
AC,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,480.0,1795.257968525053
AC,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,21895.0,0.0
AC,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,40460.0,230337.1320943992
AC,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,6570.0,798854.2230034907
AL,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,279705.0,53348.16371182632
AL,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,41314.0,0.0
AL,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,54019.0,281890.0378377004
AL,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,3686.0,850407.128746792
AM,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,4775.0,19034.685749877477
AM,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,75034.0,0.0
AM,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,2554.0,247576.5598757516
AM,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,5900.0,816093.6507848431
AP,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,280.0,0.0
AP,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,11399.0,0.0
AP,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,2506.0,224921.33683402603
AP,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,6504.0,793438.4277431176
BA,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,75453.0,577358.5293799412
BA,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,103482.0,249644.49441490584
BA,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,667268.0,805900.4035058152
BA,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1774655.0,1374417.4944149065
CE,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,8431.0,154042.61201688502
CE,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,66018.0,0.0
CE,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,583791.0,382584.48614275904
CE,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,2220.0,951101.5770518505
DF,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,287.0,0.0
DF,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,1250.0,0.0
DF,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,60000.0,222069.77219746006
DF,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,84200.0,790586.8631065516
ES,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,52697.0,35172.20494759828
ES,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,7487.0,0.0
ES,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,15624.0,263714.0790734723
ES,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,80.0,832231.1699825638
GO,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,933105.0,1327539.400822328
GO,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,11657.0,999825.3658572928
GO,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,1942588.0,1556081.274948202
GO,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,4121969.0,2124598.365857294
MA,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,47953.0,327162.38969836617
MA,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,52341.0,0.0
MA,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,514675.0,555704.2638242401
MA,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,1099871.0,1124221.3547333316
MG,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,977624.0,956724.0523690812
MG,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,38891.0,629010.0174040459
MG,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,1314591.0,1185265.926494955
MG,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,2022682.0,1753783.0174040466
MS,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,631539.0,1125478.4741887902
MS,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,43246.0,797764.4392237549
MS,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,2386159.0,1354020.3483146643
MS,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,3694468.0,1922537.4392237558
MT,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,229199.0,3083092.6172019783
MT,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,18440.0,2755378.582236943
MT,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,6416967.0,3311634.491327853
MT,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,10925226.0,3880151.5822369438
PA,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,17479.0,241235.62747566425
PA,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,278356.0,0.0
PA,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,405590.0,469777.50160153816
PA,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,839560.0,1038294.5925106297
PB,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,102399.0,54550.103323251824
PB,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,14916.0,0.0
PB,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,98856.0,283091.9774491258
PB,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,37.0,851609.0683582172
PE,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,285017.0,98173.81135951082
PE,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,38856.0,0.0
PE,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,193735.0,326715.68548538483
PE,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,0.0,895232.7763944764
PI,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,17827.0,292650.3080241494
PI,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,40883.0,0.0
PI,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,585294.0,521192.18215002335
PI,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,872906.0,1089709.2730591148
PR,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,521038.0,2127216.0959571498
PR,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,123041.0,1799502.0609921142
PR,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,3073180.0,2355757.9700830234
PR,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,5683194.0,2924275.060992115
RJ,2022,Cana_de_acucar,area_plantada_ha,Area plantada,Regressao Linear,baseline,59789.0,106417.850621127
RJ,2022,Mandioca,area_plantada_ha,Area plantada,Regressao Linear,baseline,12109.0,0.0
RJ,2022,Milho,area_plantada_ha,Area plantada,Regressao Linear,baseline,2383.0,334959.72474700096
RJ,2022,Soja,area_plantada_ha,Area plantada,Regressao Linear,baseline,242.0,903476.8156560925
