"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Maranhão";"2,86";"11,89";"21,66";"28,05";"2,72";"11,61";"21,32";"29,67";"2,71";"10,74";"24,69";"30,39";"2,65";"10,17";"27,22";"30,05";"2,33";"9,37";"27,51";"33,77";"2,61";"9,50";"24,96";"41,60";"2,86";"8,19";"20,91";"49,04";"2,51";"5,60";"25,99";"45,17";"2,49";"4,45";"22,65";"50,87";"2,75";"3,55";"24,73";"56,75";"2,75";"3,28";"26,50";"55,90";"2,61";"3,04";"26,68";"56,52";"2,50";"2,72";"26,79";"57,25";"2,24";"2,48";"26,56";"59,05";"2,21";"2,31";"23,83";"62,58"
"Piauí";"1,02";"4,67";"24,55";"27,17";"1,09";"3,37";"25,26";"27,63";"1,10";"4,32";"25,03";"31,38";"0,97";"2,54";"25,49";"36,64";"0,96";"1,87";"26,33";"40,68";"0,96";"2,49";"26,23";"42,85";"1,03";"2,52";"32,44";"37,76";"0,94";"2,28";"28,93";"42,62";"0,88";"2,11";"29,12";"43,09";"0,97";"2,31";"27,52";"46,75";"0,97";"2,44";"28,19";"45,68";"1,01";"2,35";"29,58";"47,16";"0,94";"2,17";"31,02";"46,26";"0,90";"2,25";"30,07";"47,24";"0,92";"2,34";"22,52";"55,05"
"Ceará";"2,43";"6,17";"31,20";"0,06";"1,98";"4,08";"34,79";"-";"2,32";"5,14";"30,94";"0,07";"2,40";"4,91";"26,44";"-";"1,67";"4,03";"31,52";"-";"1,27";"3,88";"32,88";"-";"1,12";"4,10";"33,08";"-";"0,99";"3,70";"36,98";"-";"0,83";"4,25";"38,75";"0,01";"0,72";"4,49";"38,21";"-";"0,69";"4,23";"38,84";"0,03";"0,67";"4,06";"39,61";"0,10";"0,59";"4,58";"40,51";"0,15";"0,60";"4,61";"41,24";"0,34";"0,62";"5,20";"40,01";"0,25"
"Rio Grande do Norte";"18,87";"8,81";"8,91";"-";"13,97";"6,04";"17,34";"-";"21,15";"9,20";"6,88";"-";"20,23";"2,47";"13,07";"-";"19,20";"4,60";"13,95";"-";"19,16";"4,81";"13,82";"-";"21,59";"3,74";"13,16";"-";"21,18";"4,54";"11,95";"-";"20,65";"7,15";"14,40";"-";"19,81";"6,22";"18,49";"-";"20,98";"6,84";"17,98";"-";"22,50";"7,59";"15,34";"-";"21,58";"6,99";"18,99";"-";"19,43";"8,04";"19,62";"0,03";"18,24";"7,68";"20,01";"0,03"
"Paraíba";"27,92";"5,82";"22,32";"-";"20,84";"4,11";"29,06";"-";"34,86";"5,72";"21,73";"-";"39,27";"4,90";"16,19";"-";"32,39";"4,15";"23,14";"0,09";"36,93";"4,66";"20,00";"-";"33,90";"4,31";"23,14";"-";"29,26";"4,52";"24,65";"-";"26,97";"3,95";"26,59";"-";"27,32";"4,30";"25,94";"-";"27,21";"4,02";"26,48";"-";"30,18";"4,26";"25,72";"-";"28,36";"4,13";"27,38";"0,01";"29,68";"4,08";"27,45";"-";"28,95";"4,20";"27,87";"-"
"Pernambuco";"32,80";"6,04";"22,89";"-";"30,03";"4,34";"25,79";"-";"30,93";"5,34";"25,59";"-";"52,04";"6,86";"9,68";"-";"34,65";"4,14";"24,44";"-";"37,54";"5,73";"23,34";"-";"31,01";"5,06";"25,91";"-";"32,25";"3,19";"24,90";"-";"32,59";"6,39";"23,54";"-";"31,94";"6,25";"22,65";"-";"32,95";"6,33";"22,46";"-";"34,63";"5,41";"22,76";"0,04";"34,88";"4,76";"23,71";"-";"32,75";"6,34";"23,21";"0,01";"32,78";"6,77";"22,37";"-"
"Alagoas";"70,94";"3,33";"8,69";"-";"72,55";"3,01";"8,20";"-";"82,21";"3,97";"3,24";"-";"76,87";"3,18";"5,01";"-";"74,03";"3,60";"6,08";"-";"66,73";"5,00";"7,41";"0,06";"67,32";"5,58";"6,48";"0,08";"61,79";"6,64";"8,10";"0,09";"63,44";"7,38";"7,39";"0,24";"62,14";"7,55";"7,88";"0,64";"58,29";"8,20";"8,30";"0,26";"57,28";"7,99";"10,96";"0,65";"56,88";"8,40";"10,99";"0,75";"60,17";"7,06";"11,28";"1,20";"59,08";"8,08";"11,29";"1,09"
"Sergipe";"10,71";"7,49";"41,80";"-";"12,38";"7,87";"42,21";"-";"13,99";"8,09";"40,51";"-";"13,70";"7,45";"41,78";"-";"13,76";"7,15";"46,40";"-";"15,07";"6,66";"46,09";"-";"16,18";"5,77";"47,66";"-";"13,49";"5,57";"49,87";"-";"14,43";"4,34";"51,97";"-";"12,94";"4,30";"54,19";"-";"13,88";"3,97";"54,70";"-";"12,48";"3,61";"58,71";"-";"13,43";"4,17";"58,40";"-";"14,35";"3,94";"59,03";"-";"16,36";"3,88";"56,86";"-"
"Bahia";"2,06";"5,58";"17,25";"21,68";"2,37";"5,19";"16,30";"21,31";"2,68";"5,51";"13,42";"25,30";"2,61";"4,10";"15,05";"26,83";"2,42";"4,16";"16,85";"26,04";"2,08";"3,88";"16,18";"28,62";"2,37";"3,99";"13,57";"33,59";"1,89";"2,76";"15,05";"38,86";"1,78";"2,24";"15,46";"38,84";"1,79";"2,29";"14,79";"38,47";"1,85";"2,42";"14,37";"39,20";"1,74";"2,35";"14,71";"40,47";"1,72";"2,36";"15,24";"40,54";"1,68";"2,29";"15,13";"41,91";"1,64";"2,27";"14,19";"43,04"
"Minas Gerais";"15,41";"1,15";"24,60";"21,07";"16,79";"1,16";"24,18";"20,60";"17,31";"1,18";"24,96";"20,17";"16,94";"1,14";"24,15";"21,79";"17,38";"1,10";"24,25";"22,77";"16,91";"1,10";"23,61";"24,48";"16,47";"1,05";"22,03";"26,60";"17,13";"0,67";"20,50";"29,13";"17,23";"0,68";"19,62";"28,21";"16,78";"0,68";"20,00";"28,93";"17,23";"0,64";"19,54";"29,07";"16,30";"0,65";"19,90";"32,27";"15,60";"0,62";"20,98";"32,28";"15,84";"0,59";"18,39";"33,15";"16,58";"0,59";"16,54";"33,71"
"Espírito Santo";"11,75";"2,01";"4,06";"-";"11,02";"1,62";"4,96";"-";"10,68";"1,70";"4,61";"-";"11,22";"1,37";"3,92";"-";"11,59";"1,48";"3,31";"-";"11,76";"1,33";"2,86";"-";"11,02";"1,34";"2,16";"-";"8,58";"1,33";"2,25";"-";"9,21";"1,26";"2,46";"-";"8,12";"1,30";"2,35";"-";"7,65";"1,31";"2,27";"-";"9,22";"1,29";"2,38";"-";"8,79";"1,25";"2,60";"0,01";"8,71";"1,26";"3,00";"0,16";"8,66";"1,22";"2,70";"0,08"
"Rio de Janeiro";"61,01";"6,31";"3,23";"-";"54,59";"7,69";"3,82";"-";"56,45";"9,41";"2,95";"-";"57,35";"6,87";"2,99";"-";"54,06";"7,98";"2,77";"-";"53,43";"7,49";"1,64";"-";"45,79";"8,92";"2,27";"-";"47,84";"10,11";"2,38";"-";"48,06";"10,32";"2,32";"-";"47,19";"12,62";"1,57";"-";"47,09";"13,13";"1,47";"-";"52,95";"10,21";"1,74";"0,07";"52,63";"10,66";"2,10";"0,21";"50,02";"11,49";"1,86";"0,72";"50,90";"10,66";"1,42";"0,70"
"Guanabara";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Paulo";"64,92";"0,68";"9,92";"6,35";"65,76";"0,71";"10,14";"6,16";"65,45";"0,73";"10,56";"7,08";"66,61";"0,66";"10,09";"7,51";"66,80";"0,66";"9,36";"8,32";"65,77";"0,59";"9,53";"9,34";"64,77";"0,57";"10,04";"9,83";"64,44";"0,52";"10,00";"10,73";"63,75";"0,57";"9,96";"11,24";"62,45";"0,67";"9,52";"12,18";"62,23";"0,74";"9,14";"12,78";"62,12";"0,75";"7,74";"13,61";"60,64";"0,68";"9,17";"13,80";"59,64";"0,78";"8,98";"14,76";"59,47";"0,84";"8,16";"15,16"
"Paraná";"6,45";"1,77";"23,25";"46,15";"6,47";"1,86";"24,92";"45,95";"6,53";"1,59";"30,01";"44,41";"6,15";"1,49";"28,71";"45,36";"6,36";"1,47";"23,89";"46,77";"5,89";"1,50";"22,96";"49,32";"6,12";"1,38";"24,08";"50,83";"6,04";"1,31";"26,61";"49,14";"5,86";"1,48";"22,95";"51,33";"5,59";"1,34";"24,67";"50,78";"5,26";"1,35";"24,81";"50,94";"5,11";"1,28";"25,69";"49,64";"4,51";"1,07";"26,61";"49,22";"4,53";"1,19";"24,43";"50,22";"4,42";"1,22";"24,92";"50,88"
"Santa Catarina";"0,57";"1,79";"34,90";"26,40";"0,68";"1,69";"33,31";"28,09";"0,69";"1,86";"33,57";"28,91";"0,66";"1,79";"30,34";"32,65";"0,71";"1,44";"27,28";"34,52";"0,50";"1,39";"25,37";"38,18";"0,48";"1,31";"22,84";"41,88";"0,49";"1,37";"23,22";"42,57";"0,27";"1,20";"21,94";"44,41";"0,26";"1,12";"22,81";"44,11";"0,26";"1,11";"22,69";"43,99";"0,25";"1,07";"21,54";"43,80";"0,23";"0,91";"20,17";"45,14";"0,23";"0,87";"19,64";"46,31";"0,22";"0,87";"17,50";"48,33"
"Rio Grande do Sul";"0,45";"1,03";"14,50";"50,64";"0,40";"0,99";"13,53";"50,13";"0,37";"0,98";"13,53";"51,62";"0,32";"0,83";"11,80";"53,96";"0,27";"0,78";"10,23";"55,15";"0,22";"0,74";"9,53";"58,71";"0,20";"0,72";"8,29";"61,16";"0,18";"0,66";"9,16";"61,09";"0,17";"0,61";"7,78";"62,94";"0,16";"0,54";"8,28";"63,38";"0,15";"0,50";"7,88";"62,90";"0,14";"0,48";"7,83";"61,30";"0,12";"0,43";"7,42";"60,44";"0,11";"0,41";"7,68";"62,05";"0,11";"0,40";"7,60";"63,02"
"Mato Grosso do Sul";"12,29";"0,82";"26,89";"53,30";"14,16";"0,87";"28,55";"50,31";"14,63";"0,81";"32,60";"47,50";"14,87";"0,76";"35,70";"45,97";"14,04";"0,87";"35,01";"47,37";"11,50";"1,01";"35,40";"49,49";"13,31";"0,70";"34,10";"49,51";"12,53";"0,60";"34,68";"49,60";"12,43";"0,61";"34,83";"49,54";"12,56";"0,64";"34,24";"49,74";"11,19";"0,67";"33,13";"52,40";"10,51";"0,68";"33,57";"52,72";"9,06";"0,62";"34,21";"52,97";"9,08";"0,72";"32,93";"53,38";"9,29";"0,77";"30,62";"55,87"
"Mato Grosso";"2,25";"0,38";"21,35";"66,01";"2,28";"0,25";"19,34";"64,94";"2,18";"0,21";"24,21";"61,67";"2,21";"0,18";"26,74";"62,07";"2,09";"0,17";"24,60";"63,38";"2,06";"0,14";"25,25";"63,52";"1,93";"0,14";"26,80";"62,87";"1,79";"0,12";"30,63";"59,46";"1,84";"0,13";"28,46";"60,80";"1,79";"0,12";"30,21";"58,44";"1,54";"0,10";"30,94";"58,12";"1,40";"0,10";"32,32";"58,22";"1,20";"0,10";"33,48";"57,00";"1,13";"0,08";"34,94";"56,35";"1,13";"0,07";"32,76";"57,31"
"Goiás";"12,83";"0,47";"19,03";"54,22";"14,16";"0,37";"19,50";"52,08";"13,87";"0,35";"23,12";"50,54";"15,27";"0,18";"21,83";"52,31";"14,58";"0,20";"22,90";"51,78";"15,18";"0,21";"23,00";"53,27";"14,68";"0,21";"24,81";"52,36";"14,34";"0,21";"25,42";"51,77";"14,92";"0,20";"23,64";"52,22";"14,18";"0,18";"25,00";"50,97";"13,38";"0,17";"25,00";"51,58";"12,65";"0,16";"25,59";"52,43";"12,15";"0,15";"25,29";"53,67";"11,57";"0,15";"25,81";"53,95";"11,43";"0,13";"24,05";"55,04"
"Distrito Federal";"0,77";"0,68";"27,44";"46,48";"0,69";"0,56";"25,49";"42,97";"0,53";"0,68";"36,65";"40,81";"0,33";"0,96";"38,94";"38,42";"0,27";"0,64";"40,74";"41,14";"0,28";"0,58";"40,51";"42,77";"0,18";"0,68";"42,14";"42,57";"0,23";"0,65";"40,11";"42,97";"0,12";"0,76";"38,53";"43,31";"0,12";"0,76";"38,68";"45,33";"0,12";"0,73";"35,67";"43,42";"0,12";"0,75";"35,96";"47,94";"0,16";"0,72";"34,49";"48,40";"0,12";"0,71";"31,54";"48,31";"0,11";"0,47";"27,93";"44,80"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área colhida (Hectares)"
"Unidade da Federação";"Ano x Produto das lavouras temporárias e permanentes"
"Unidade da Federação";"2010";;;;"2011";;;;"2012";;;;"2013";;;;"2014";;;;"2015";;;;"2016";;;;"2017";;;;"2018";;;;"2019";;;;"2020";;;;"2021";;;;"2022";;;;"2023";;;;"2024"
"Unidade da Federação";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)";"Cana-de-açúcar";"Mandioca";"Milho (em grão)";"Soja (em grão)"
"Rondônia";"3824";"29192";"157799";"122323";"3767";"30212";"154478";"132300";"3799";"27478";"160213";"146144";"4944";"28288";"147657";"179877";"4856";"24796";"154159";"191970";"2342";"26024";"175711";"233605";"4868";"29095";"157518";"246171";"3707";"29163";"215545";"280103";"1878";"24808";"185153";"300816";"2517";"22286";"225327";"344551";"754";"22428";"246564";"392642";"718";"18656";"295312";"400459";"502";"18968";"322237";"489526";"618";"17876";"356373";"589263";"577";"17597";"349091";"634079"
"Acre";"1999";"40698";"39314";"100";"2654";"48292";"36686";"85";"2962";"44898";"40802";"-";"2713";"43865";"45486";"57";"3455";"42895";"42181";"400";"3568";"38294";"38386";"-";"3079";"39621";"36387";"100";"715";"35402";"34850";"127";"455";"28340";"30140";"480";"460";"26650";"28840";"1590";"448";"24720";"29870";"3280";"471";"23000";"34105";"5985";"448";"21895";"40380";"6570";"436";"21565";"40831";"12010";"401";"21865";"37625";"17550"
"Amazonas";"5258";"68369";"13952";"180";"5082";"81880";"14450";"180";"4432";"78646";"14298";"220";"4125";"80894";"11018";"20";"4629";"74804";"7280";"-";"3776";"70022";"5364";"-";"3600";"78234";"3880";"-";"3867";"84319";"3518";"-";"3953";"77215";"3535";"-";"3956";"76893";"2856";"2500";"4271";"76774";"3026";"2700";"5825";"71765";"2814";"3000";"4775";"74114";"2506";"5900";"4729";"61355";"3288";"8237";"5810";"70653";"6029";"24472"
"Roraima";"420";"5797";"6400";"1400";"439";"5800";"5900";"3600";"423";"5800";"5900";"5000";"464";"8032";"6061";"14900";"368";"8570";"6181";"16000";"285";"7851";"5221";"23820";"241";"7035";"5090";"24035";"238";"5567";"6616";"18725";"160";"6230";"9155";"37670";"210";"6342";"9621";"39930";"200";"6595";"13900";"49800";"164";"5545";"21373";"71178";"190";"5970";"15720";"102785";"185";"6264";"13774";"128197";"152";"5321";"18158";"117215"
"Pará";"10891";"296732";"201764";"85450";"12592";"294049";"210532";"105888";"13365";"301364";"215935";"119686";"13801";"302300";"220962";"189746";"13350";"344323";"205150";"242971";"13301";"308964";"228866";"337056";"13359";"291740";"197261";"433813";"12596";"294337";"266981";"500385";"13475";"261308";"226708";"557532";"14920";"262021";"259122";"577764";"14906";"270288";"320749";"643267";"14908";"285361";"362071";"753781";"17479";"277106";"405590";"839560";"17473";"250476";"485253";"1007539";"17516";"266576";"477562";"1192224"
"Amapá";"130";"11152";"3530";"-";"130";"11257";"2854";"-";"130";"12698";"2535";"-";"133";"11850";"2250";"4528";"141";"14500";"2150";"15825";"135";"12500";"1750";"11125";"132";"11820";"1546";"14860";"86";"12860";"1591";"18900";"214";"9862";"1360";"18378";"411";"10125";"1248";"18493";"386";"10472";"1263";"20050";"314";"10520";"1310";"6700";"280";"11385";"2500";"6500";"223";"9007";"2294";"7350";"213";"11143";"1794";"7500"
"Tocantins";"9780";"18612";"83229";"352875";"25524";"17632";"86358";"396132";"27405";"16535";"96973";"415463";"27209";"15697";"95565";"536545";"35957";"12047";"122213";"718374";"36287";"13847";"162078";"830031";"37875";"15035";"148039";"828435";"37268";"13251";"226549";"842160";"39254";"15374";"217873";"898582";"39179";"14376";"259121";"905044";"30789";"14849";"316908";"962399";"36418";"16352";"334501";"1112598";"29918";"16289";"421847";"1166489";"36638";"15066";"527045";"1331473";"36105";"14361";"470656";"1422613"
"Maranhão";"50477";"210060";"375486";"494236";"48565";"207554";"381297";"530539";"49534";"196564";"445893";"556178";"49806";"189693";"505615";"563366";"46227";"188080";"551885";"677540";"47685";"173798";"456746";"761225";"45633";"130075";"332713";"783604";"45494";"101385";"464034";"817719";"43626";"81013";"412696";"926656";"47405";"60724";"425885";"977598";"47240";"56414";"455590";"960900";"47182";"55018";"483152";"1023541";"47953";"52241";"514675";"1099871";"45096";"49913";"535302";"1190047";"46022";"47698";"496073";"1302915"
"Piauí";"12841";"59038";"287048";"343092";"15194";"46729";"349984";"383618";"15629";"60835";"269061";"444856";"14547";"37602";"271997";"533114";"14774";"28793";"377217";"626799";"15022";"38657";"370650";"666718";"15353";"37190";"410197";"561715";"15309";"37073";"451958";"694947";"14594";"34887";"448011";"711123";"15938";"37822";"437306";"765944";"16097";"40448";"466232";"757678";"17892";"41527";"505354";"832063";"17807";"40849";"582616";"872906";"17951";"44991";"587331";"945551";"18010";"44825";"430509";"1080496"
"Ceará";"43024";"109155";"551984";"1020";"41370";"85083";"725301";"-";"40248";"89117";"497598";"1145";"32739";"65519";"355871";"-";"25190";"60747";"472059";"-";"19149";"58506";"495682";"-";"16123";"58916";"473696";"-";"15126";"56332";"562831";"-";"10013";"62581";"570213";"80";"9832";"60642";"521473";"-";"9619";"58599";"537704";"450";"9432";"57141";"557785";"1414";"8431";"65968";"583065";"2220";"8725";"67122";"599578";"4944";"8828";"74423";"572172";"3546"
"Rio Grande do Norte";"65320";"30509";"20317";"-";"59462";"25713";"72541";"-";"71296";"29078";"6195";"-";"66121";"8025";"19161";"-";"65887";"15286";"23415";"-";"59487";"14542";"11253";"-";"60422";"10307";"7700";"-";"62711";"13094";"13481";"-";"64240";"22151";"39026";"-";"64171";"20051";"55231";"-";"65872";"20391";"55776";"-";"66127";"21393";"27423";"-";"68626";"21391";"52943";"-";"65495";"26815";"47331";"-";"64398";"24832";"46837";"100"
"Paraíba";"123691";"25763";"73582";"-";"118097";"23316";"156523";"-";"125985";"20518";"15379";"-";"122066";"14796";"44196";"-";"119877";"15366";"67064";"175";"120504";"15187";"45803";"-";"122738";"15580";"68209";"-";"100133";"15405";"73929";"-";"101724";"14891";"91265";"-";"97751";"15310";"78642";"-";"100458";"14838";"97725";"-";"101163";"14187";"73531";"-";"102399";"14903";"92523";"37";"109237";"15007";"89395";"-";"110961";"16121";"96179";"-"
"Pernambuco";"361253";"66372";"176892";"-";"341023";"46740";"259335";"-";"299901";"45888";"53855";"-";"296823";"35245";"41592";"-";"302932";"34061";"163157";"-";"309487";"43914";"79290";"-";"265183";"26478";"91859";"-";"253089";"24146";"111673";"-";"255297";"41466";"120777";"-";"238637";"43583";"79123";"-";"257788";"47166";"144159";"-";"279497";"42486";"104774";"300";"284797";"36881";"115314";"-";"260601";"48049";"84457";"100";"270594";"54947";"143136";"-"
"Alagoas";"433725";"20396";"43486";"-";"434684";"18051";"40730";"-";"433300";"20910";"4356";"-";"445033";"18243";"14225";"-";"420072";"20435";"22500";"-";"308006";"22570";"19226";"278";"306667";"25342";"8657";"343";"321994";"34257";"27671";"445";"285275";"33058";"13216";"1066";"304548";"36084";"21766";"3141";"270530";"38025";"31926";"1224";"290462";"40220";"32785";"3312";"279705";"37735";"20598";"3416";"290003";"33583";"27359";"5796";"274550";"37017";"30773";"5054"
"Sergipe";"46665";"32622";"182068";"-";"50988";"32429";"148850";"-";"50252";"30730";"81690";"-";"49768";"28738";"148289";"-";"48799";"26956";"162545";"-";"54097";"24463";"150935";"-";"55744";"20445";"88618";"-";"45841";"18721";"169262";"-";"39995";"12050";"33496";"-";"34951";"11557";"142036";"-";"38380";"11026";"152103";"-";"37108";"10669";"165543";"-";"37936";"12389";"175993";"-";"43077";"12306";"178840";"-";"49683";"12122";"178383";"-"
"Bahia";"96743";"262025";"724102";"1017250";"116171";"252770";"625363";"1045240";"117910";"221739";"403926";"1112627";"117545";"179116";"570529";"1211267";"118645";"193750";"656718";"1276369";"104709";"189790";"702854";"1440113";"108296";"174103";"457942";"1536678";"76876";"104382";"499280";"1583864";"73546";"90995";"516956";"1603203";"73708";"92788";"547410";"1585842";"75038";"94864";"577377";"1622475";"72993";"96996";"582196";"1699965";"75453";"100270";"643491";"1774655";"77268";"102902";"651378";"1923627";"74564";"101911";"593249";"1969339"
"Minas Gerais";"746527";"55477";"1169506";"1020611";"831329";"57220";"1177061";"1014429";"871561";"59702";"1230479";"1028341";"895015";"58681";"1214555";"1151010";"932827";"59641";"1272338";"1236695";"910927";"59390";"1219333";"1327581";"909050";"58128";"1102087";"1458914";"906994";"35455";"1054224";"1533592";"917810";"36497";"1024685";"1509510";"943289";"37378";"1083968";"1620786";"1005107";"36310";"1119388";"1695672";"977571";"38813";"1155546";"1935060";"977624";"38891";"1305405";"2022682";"1058212";"39536";"1228338";"2214362";"1118810";"40115";"1092993";"2273439"
"Espírito Santo";"81393";"13894";"28122";"-";"76488";"11214";"34426";"-";"73459";"11714";"31694";"-";"75821";"9240";"24686";"-";"76284";"9723";"21489";"-";"76683";"8690";"13154";"-";"67906";"8214";"13161";"-";"50109";"7751";"13122";"-";"43888";"7166";"13921";"-";"45360";"7270";"13060";"-";"43217";"7427";"12822";"-";"53374";"7464";"13787";"-";"52697";"7487";"15624";"80";"53123";"7705";"18305";"1000";"53411";"7530";"16664";"504"
"Rio de Janeiro";"133286";"13779";"7053";"-";"105091";"14814";"7353";"-";"117892";"19662";"6165";"-";"108144";"12956";"5639";"-";"92389";"13643";"4596";"-";"79388";"11132";"2370";"-";"56770";"11065";"2812";"-";"53572";"11739";"2757";"-";"52671";"11264";"2454";"-";"53512";"14298";"1779";"-";"52931";"14767";"1655";"-";"61454";"11841";"2019";"77";"59734";"12104";"2383";"242";"52667";"12103";"1963";"756";"54729";"11315";"1517";"748"
"Guanabara";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"São Paulo";"4986634";"52255";"768759";"495104";"5205841";"56235";"799030";"461305";"5175792";"57859";"837660";"562647";"5399235";"53936";"819310";"610452";"5566084";"54703";"777133";"692589";"5527560";"50015";"808017";"791903";"5588566";"49133";"864965";"848782";"5685946";"46073";"882122";"946540";"5517302";"49638";"860233";"973064";"5515027";"59088";"844529";"1080336";"5512045";"65192";"810278";"1132955";"5462505";"65647";"680144";"1199351";"5491033";"61156";"829907";"1252070";"5484192";"71375";"825734";"1360285";"5398676";"76645";"723128";"1355595"
"Paraná";"625885";"172214";"2257031";"4479869";"641765";"184291";"2408721";"4555312";"655509";"159115";"2996979";"4456805";"644530";"155836";"2988990";"4761733";"679669";"157187";"2558424";"5011004";"626198";"159406";"2437929";"5240402";"650716";"147478";"2576884";"5450788";"614901";"139172";"2836152";"5236903";"613034";"154511";"2395283";"5377897";"596978";"142690";"2629310";"5406477";"571873";"146983";"2695831";"5534843";"567806";"142677";"2751186";"5518476";"521038";"122911";"3049891";"5652609";"519906";"136966";"2803150";"5760969";"501513";"137716";"2824772";"5769082"
"Santa Catarina";"9511";"29929";"582221";"440419";"11129";"27478";"542240";"457422";"10845";"29055";"518045";"451449";"10581";"28564";"484310";"521271";"11446";"23397";"436433";"560098";"8030";"22048";"404487";"608483";"7628";"20713";"360341";"660761";"7628";"21357";"363272";"661855";"4022";"18225";"332921";"673700";"3849";"16927";"344127";"665015";"3914";"16783";"341849";"664795";"3912";"16800";"335421";"688972";"3870";"15144";"336054";"752930";"3926";"14546";"329406";"775673";"3780";"14292";"294717";"811243"
"Rio Grande do Sul";"35934";"81602";"1148708";"4013616";"32693";"80342";"1099541";"4074829";"30541";"78905";"1007106";"4156095";"27644";"71204";"1003965";"4727821";"24583";"68674";"924363";"4986542";"19501";"65597";"854735";"5262520";"17819";"62644";"738370";"5436653";"16737";"60001";"830216";"5537028";"15691";"55205";"696952";"5651100";"14780";"49461";"762782";"5818915";"14526";"47832";"741685";"5982669";"14222";"47550";"776082";"6107558";"13136";"45929";"774141";"6215638";"12049";"43652";"815765";"6638890";"11485";"41235";"798800";"6502563"
