codigo_estacao,nome_estacao,estado_uf,latitude,longitude,altitude,data_inicio_operacao,situacao_status,tipo_estacao,entidade_responsavel,eh_capital,codigo_distrito,codigo_oscar,codigo_wsi
A233,SANTANA DO ARAGUAIA,PA,-9.34055555,-50.35027777,154,2008-05-29T21:00:00.000-03:00,Pane,Automatica,INMET,N,02,0-2000-0-81982,0-76-0-1506708000000369
A804,SANTANA DO LIVRAMENTO,RS,-30.75055555,-55.40138888,196,2001-11-21T22:00:00.000-02:00,Operante,Automatica,INMET,N,08,0-2000-0-86983,0-76-0-4317103000000015
A250,SANTAREM,PA,-2.5025,-54.72027777,137,2015-09-01T21:00:00.000-03:00,Operante,Automatica,INMET,,02,0-2000-0-81707,0-76-0-1506807000000506
A833,SANTIAGO,RS,-29.19166666,-54.88555555,390.03,2009-02-03T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-86976,0-76-0-4317400000000441
B844,SANTO ANGELO,RS,-28.27805554,-54.27388888,270,2026-02-24T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4317509000000671
B839,SANTO ANTONIO DA PATRULHA,RS,-29.81611111,-50.53333333,47,2025-10-12T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4317608000000636
A931,SANTO ANTONIO DO LESTE,MT,-14.92499999,-53.88444444,662,2008-05-29T21:00:00.000-03:00,Operante,Automatica,INMET,,09,0-2000-0-86685,0-76-0-1381098000000370
A969,SANTO ANTONIO DO LEVERGER,MT,-15.85472222,-56.07083332,190,2026-03-18T21:00:00.000-03:00,Operante,Automatica,INMET,N,09,,
A805,SANTO AUGUSTO,RS,-27.85444444,-53.7911111,489.67,2001-12-04T22:00:00.000-02:00,Operante,Automatica,INMET,N,08,0-2000-0-86952,0-76-0-4317806000000017
A830,SAO BORJA,RS,-28.65,-56.01638888,79,2007-07-20T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-86960,0-76-0-4318002000000236
A711,SAO CARLOS,SP,-21.98027777,-47.88388888,859.29,2006-09-03T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86845,0-76-0-3548906000000104
A216,SAO FELIX DO XINGU,PA,-6.63972221,-51.95694444,211,2016-11-14T21:00:00.000-03:00,Pane,Automatica,INMET,N,02,0-2000-0-81858,0-76-0-1507300000000532
B820,SAO FRANCISCO DE PAULA,RS,-29.44222221,-50.56027777,886,2025-08-17T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4318200000000617
A832,SAO GABRIEL,RS,-30.34138888,-54.31083333,114.89,2007-07-10T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-86984,0-76-0-4318309000000226
A732,SAO GABRIEL DO OESTE,MS,-19.42027777,-54.55305555,646,2006-12-17T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86789,0-76-0-5007695000000159
A333,SAO GONCALO,PB,-6.83583333,-38.31166666,237.04,2007-11-05T21:00:00.000-03:00,Operante,Automatica,INMET,N,03,0-2000-0-81774,0-76-0-2516201000000264
A514,SAO JOAO DEL REI,MG,-21.10638888,-44.25083333,929.88,2006-06-08T21:00:00.000-03:00,Operante,Automatica,INMET,N,05,0-2000-0-86849,0-76-0-3162500000000078
A331,SAO JOAO DO PIAUI,PI,-8.36444444,-42.2525,231,2007-08-25T21:00:00.000-03:00,Operante,Automatica,INMET,N,03,0-2000-0-81848,0-76-0-2210003000000244
A815,SAO JOAQUIM,SC,-28.27555554,-49.93472221,1400.06,2008-04-11T21:00:00.000-03:00,Pane,Automatica,INMET,N,08,0-2000-0-86969,0-76-0-4216503000000336
B861,SAO JOSE DO OURO,RS,-27.77249999,-51.58666666,803,2026-02-25T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4318606000000672
A942,SAO JOSE DO XINGU,MT,-10.48416666,-52.37249999,300,2019-02-18T21:00:00.000-03:00,Pane,Automatica,INMET,N,09,0-2000-0-86621,0-76-0-5107354000000589
A829,SAO JOSE DOS AUSENTES,RS,-28.7486111,-50.05777777,1228.59,2006-10-25T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,0-2000-0-86967,0-76-0-4318622000000127
B831,SAO LOURENCO DO SUL,RS,-31.34055555,-52.01083333,3,2025-09-16T21:00:00.000-03:00,Operante,Automatica,INMET,N,08,,0-76-0-4318804000000627
A203,SAO LUIS,MA,-2.52666666,-44.21361111,54.8,2003-01-28T22:00:00.000-02:00,Operante,Automatica,INMET,N,02,0-2000-0-81715,0-76-0-2111300000000047
A356,SAO LUIS DO QUITUNDE,AL,-9.28749999,-35.56583333,13.69,2008-09-07T21:00:00.000-03:00,Pane,Automatica,INMET,N,03,0-2000-0-81997,0-76-0-2707404000000424
A740,SAO LUIZ DO PARAITINGA,SP,-23.22833332,-45.41694443,874,2007-10-31T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86912,0-76-0-3535606000000262
A852,SAO LUIZ GONZAGA,RS,-28.41722221,-54.9625,245.5,2007-07-24T21:00:00.000-03:00,Pane,Automatica,INMET,N,08,0-2000-0-86961,0-76-0-4318903000000237
A616,SAO MATEUS,ES,-18.6761111,-39.86416666,28.66,2006-10-24T21:00:00.000-03:00,Operante,Automatica,INMET,N,06,0-2000-0-86786,0-76-0-3204906000000124
A874,SAO MATEUS DO SUL,PR,-25.83555555,-50.36888888,780.21,2011-04-16T21:00:00.000-03:00,Pane,Automatica,INMET,,08,0-2000-0-86931,0-76-0-4125605000000472
A715,SAO MIGUEL ARCANJO,SP,-23.89083333,-47.99916666,710,2006-08-14T21:00:00.000-03:00,Operante,Automatica,INMET,N,07,0-2000-0-86906,0-76-0-3550209000000093
A031,SAO MIGUEL DO ARAGUAIA,GO,-12.82055554,-50.33583333,210,2017-06-28T21:00:00.000-03:00,Operante,Automatica,INMET,N,10,0-2000-0-86646,0-76-0-5220207000000550
A857,SAO MIGUEL DO OESTE,SC,-26.78638888,-53.51416666,647,2008-03-11T21:00:00.000-03:00,Pane,Automatica,INMET,N,08,0-2000-0-86937,0-76-0-4217204000000316
