Nome: NOVA XAVANTINA
Codigo Estacao: A956
Latitude: -14.69777777
Longitude: -52.35027777
Altitude: 306
Situacao: Operante
Data Inicial: 2025-12-02
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-12-31;3;null;null;null;null;null;
2026-01-31;null;null;null;null;null;null;
2026-02-28;15;null;null;25,3;null;null;
2026-03-31;18;142,6;975,6;25,6;3,4;,7;
2026-04-30;6;107,6;976,6;25,5;3,5;,6;

