Nome: NOVO SANTO ANTONIO
Codigo Estacao: A947
Latitude: -12.28805555
Longitude: -50.97138888
Altitude: 205
Situacao: Operante
Data Inicial: 2025-11-27
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-11-30;null;null;null;null;null;null;
2025-12-31;17;158,2;986,9;26,6;5;1,3;
2026-01-31;24;386,6;987,7;26,3;6,4;1,2;
2026-02-28;22;335,6;988,1;26,2;6,8;1,4;
2026-03-31;19;170,6;987;27;4,8;1,3;
2026-04-30;17;31,4;987,7;27,3;3,6;1,1;

