Nome: TABAPORA
Codigo Estacao: A952
Latitude: -11.05055555
Longitude: -56.83583333
Altitude: 337
Situacao: Operante
Data Inicial: 2025-12-03
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-12-31;null;null;null;null;null;null;
2026-01-31;null;null;null;null;null;null;
2026-02-28;22;299,2;971,1;24,7;8,7;2,3;
2026-03-31;25;286,4;969,8;25,1;7,6;2;
2026-04-30;19;77,8;970,6;25,5;6,6;1,6;

