Nome: BARRA DO BUGRES
Codigo Estacao: A967
Latitude: -15.07583332
Longitude: -57.19472221
Altitude: 186
Situacao: Operante
Data Inicial: 2026-02-02
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2026-02-28;11;null;null;26,3;8,4;null;
2026-03-31;18;159,6;988,5;26,7;6,5;1,4;
2026-04-30;9;56,8;989,8;27,3;5,9;1;

