Nome: BARRA DO GARCAS
Codigo Estacao: A945
Latitude: -15.88472221
Longitude: -52.22722221
Altitude: 304
Situacao: Operante
Data Inicial: 2025-11-25
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-11-30;null;null;null;null;null;null;
2025-12-31;19;181,2;975,4;26,3;4,3;1,1;
2026-01-31;19;238,6;976,4;26,1;3,7;1;
2026-02-28;20;250,8;976,4;25,5;4,1;1;
2026-03-31;22;201,2;975,9;25,7;4;,8;
2026-04-30;7;36;977;26,3;3;,8;

