Nome: ITANHANGA
Codigo Estacao: A950
Latitude: -12.23416666
Longitude: -56.60222222
Altitude: 350
Situacao: Operante
Data Inicial: 2025-11-30
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2025-11-30;null;null;null;null;null;null;
2025-12-31;22;396,4;969,6;24,8;6,5;2,1;
2026-01-31;24;235,6;970,7;25,3;6,6;2,2;
2026-02-28;16;331,2;971,1;25,1;7;2,4;
2026-03-31;25;258,6;969,9;25,4;6,4;2;
2026-04-30;17;125;970,8;25,8;5,9;1,8;

