Nome: CHAPADA DOS GUIMARAES
Codigo Estacao: A958
Latitude: -15.46055555
Longitude: -55.74972221
Altitude: 800
Situacao: Operante
Data Inicial: 2026-02-05
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2026-02-28;15;null;null;22,6;5,4;null;
2026-03-31;21;null;920,1;23,2;4,3;1,4;
2026-04-30;21;145,2;921,4;23,7;6,3;1,3;

