Nome: ARIPUANA
Codigo Estacao: A964
Latitude: -10.18249999
Longitude: -59.45972222
Altitude: 230
Situacao: Operante
Data Inicial: 2026-02-22
Data Final: 2026-04-01
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2026-02-28;4;null;null;null;null;null;
2026-03-31;20;194,2;985;25,5;6,1;,9;
2026-04-30;24;209,8;985,7;25,8;6,4;,9;

