Data Medicao,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2025-02-28,111.18000000000002,1007.8666666666667,20.849999999999998,9.875,3.0
2025-03-31,111.18000000000002,1007.8666666666667,20.849999999999998,9.875,3.0
2025-04-30,111.18000000000002,1007.8666666666667,20.849999999999998,9.875,3.0
2025-05-31,111.18000000000002,1007.8666666666667,20.849999999999998,9.875,3.0
2025-06-30,111.18000000000002,1007.8666666666667,20.849999999999998,9.875,3.0
2025-07-31,111.18000000000002,1007.8666666666667,20.849999999999998,9.875,3.0
2025-08-31,111.18000000000002,1007.8666666666667,20.849999999999998,9.875,3.0
2025-09-30,104.53333333333335,1009.4,16.5,8.0,2.9
2025-10-31,103.8,1012.0,18.6,10.7,3.3
2025-11-30,76.4,1008.3,20.2,13.8,3.5
2025-12-31,125.23333333333333,1003.9,23.3,8.9,2.9
2026-01-31,125.23333333333333,1006.0666666666666,23.2,8.6,2.8666666666666667
2026-02-28,165.9,1006.8,22.7,10.0,2.9
2026-03-31,80.8,1007.5,22.6,8.2,2.8
2026-04-30,129.0,1008.7,19.7,10.8,2.6
