Data Medicao,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2025-11-30,143.10000000000002,948.15,22.0,9.55,2.95
2025-12-31,143.10000000000002,948.15,22.0,9.55,2.95
2026-01-31,143.10000000000002,948.15,22.0,9.55,2.95
2026-02-28,143.10000000000002,948.15,22.0,9.55,2.95
2026-03-31,128.4,947.4,23.8,10.4,2.9
2026-04-30,157.8,948.9,20.2,8.7,3.0
