Data Medicao,"PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2026-02-28,981.75,23.15,7.65,2.2
2026-03-31,980.7,25.5,7.2,2.1
2026-04-30,982.8,20.8,8.1,2.3
