Data Medicao,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2025-07-31,88.51666666666667,1007.2833333333334,23.183333333333337,6.1571428571428575,1.8166666666666667
2025-08-31,88.51666666666667,1007.2833333333334,23.183333333333337,6.1571428571428575,1.8166666666666667
2025-09-30,88.51666666666667,1007.2833333333334,23.183333333333337,6.1571428571428575,1.8166666666666667
2025-10-31,84.6,1007.2666666666668,24.333333333333332,5.6,1.8333333333333333
2025-11-30,21.3,1008.6,21.3,6.8,2.1
2025-12-31,151.1,1004.2,24.3,6.2,1.7
2026-01-31,90.5,1007.8,24.2,6.0,1.8
2026-02-28,49.2,1006.7,24.5,5.8,1.9
2026-03-31,114.1,1007.3,24.3,6.0,1.8
2026-04-30,104.9,1009.1,20.5,6.7,1.6
