Data Medicao,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2025-04-30,82.8,1012.1999999999999,22.77142857142857,9.157142857142858,2.65
2025-05-31,82.8,1012.1999999999999,22.77142857142857,9.157142857142858,2.65
2025-06-30,82.8,1012.1999999999999,22.77142857142857,9.157142857142858,2.65
2025-07-31,82.8,1012.1999999999999,22.77142857142857,9.157142857142858,2.65
2025-08-31,82.8,1012.1999999999999,22.77142857142857,9.157142857142858,2.65
2025-09-30,82.8,1012.1999999999999,22.77142857142857,9.157142857142858,2.65
2025-10-31,92.26666666666667,1012.1999999999999,19.3,9.2,2.6333333333333333
2025-11-30,83.6,1013.6,20.9,13.8,3.1
2025-12-31,95.0,1009.0,24.4,8.7,2.6
2026-01-31,92.8,1012.7,24.6,8.8,2.8
2026-02-28,53.2,1011.6,24.7,8.7,2.7
2026-03-31,74.0,1012.3,24.3,7.7,2.5
2026-04-30,98.2,1014.0,21.2,7.2,2.2
