Data Medicao,"PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2025-09-30,1012.7,20.7,8.95,3.3
2025-10-31,1012.7,20.7,8.95,3.3
2025-11-30,1012.7,20.7,8.95,3.3
2025-12-31,1012.7,20.7,8.95,3.3
2026-01-31,1012.7,20.7,8.95,3.3
2026-02-28,1012.7,20.7,8.95,3.3
2026-03-31,1012.7,20.7,7.9,3.3
2026-04-30,1012.7,20.7,10.0,3.3
