Data Medicao,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","TEMPERATURA MEDIA, MENSAL (AUT)(°C)","VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
2025-07-31,116.0,918.4666666666667,18.928571428571427,5.9,1.9666666666666668
2025-08-31,116.0,918.4666666666667,18.928571428571427,5.9,1.9666666666666668
2025-09-30,116.0,918.4666666666667,18.928571428571427,5.9,1.9666666666666668
2025-10-31,106.53333333333332,919.1666666666666,15.0,6.6,1.9666666666666668
2025-11-30,130.2,918.6,17.5,5.6,2.2
2025-12-31,191.2,916.3,20.6,6.7,2.0
2026-01-31,125.7,919.1,20.0,5.2,1.9
2026-02-28,39.4,918.1,20.8,5.2,2.0
2026-03-31,145.8,918.9,21.1,6.0,1.9
2026-04-30,63.7,919.8,17.5,6.0,1.8
